y,x,lat_lon1
68.634241,-149.602759,68.634241###-149.602759
68.49592,-149.60205,68.49592###-149.60205
68.53405,-149.1573,68.53405###-149.1573
68.53327,-149.19565,68.53327###-149.19565
68.53698,-149.2374,68.53698###-149.2374
68.8264,-149.7585,68.8264###-149.7585
68.82735,-149.74993,68.82735###-149.74993
68.70785,-149.69963,68.70785###-149.69963
68.70166667,-149.7433333,68.70166667###-149.7433333
68.705,-149.7316667,68.705###-149.7316667
68.70333333,-149.715,68.70333333###-149.715
68.585,-149.1966667,68.585###-149.1966667
68.5896775,-149.1815373,68.5896775###-149.1815373
68.49113,-149.60796,68.49113###-149.60796
68.87315,-149.04128,68.87315###-149.04128
68.62538,-149.13919,68.62538###-149.13919
68.673757,-149.618268,68.673757###-149.618268
68.677802,-149.623574,68.677802###-149.623574
69.149465,-148.822017,69.149465###-148.822017
68.69571958,-149.2024554,68.69571958###-149.2024554
68.58333333,-149.1883333,68.58333333###-149.1883333
68.79372,-149.47561,68.79372###-149.47561
68.98353,-149.89436,68.98353###-149.89436
68.293473,19.113264,68.293473###19.113264
68.43499,18.428603,68.43499###18.428603
68.279371,19.093496,68.279371###19.093496
68.29821,19.12132,68.29821###19.12132
40.417,-86.875,40.417###-86.875
28.54,108.49,28.54###108.49
27.59,108.45,27.59###108.45
39.72,116.34,39.72###116.34
39.94,116.34,39.94###116.34
27.4986,108.4474,27.4986###108.4474
41.88,-87.63,41.88###-87.63
47.486,-93.605,47.486###-93.605
47.48615,-93.60536,47.48615###-93.60536
47.937,-95.986,47.937###-95.986
47.93713,-95.98628,47.93713###-95.98628
48.51552,-95.83894,48.51552###-95.83894
48.4297,-96.28949,48.4297###-96.28949
46.04625,-94.456,46.04625###-94.456
48.42846,-96.0746,48.42846###-96.0746
48.33121,-95.96523,48.33121###-95.96523
9.75,-83.75,9.75###-83.75
41.02531,-72.46175,41.02531###-72.46175
41.02536,-72.4617,41.02536###-72.4617
41.02534,-72.46171,41.02534###-72.46171
41.02525,-72.46158,41.02525###-72.46158
41.0254,-72.46171,41.0254###-72.46171
41.02541,-72.46185,41.02541###-72.46185
41.02543,-72.46171,41.02543###-72.46171
41.02539,-72.46176,41.02539###-72.46176
41.02552,-72.46178,41.02552###-72.46178
45.013092,-0.786197,45.013092###-0.786197
41.01041,-72.53067,41.01041###-72.53067
41.01036,-72.53068,41.01036###-72.53068
41.01025,-72.53058,41.01025###-72.53058
41.01036,-72.53056,41.01036###-72.53056
41.01039,-72.53075,41.01039###-72.53075
41.01026,-75.53069,41.01026###-75.53069
41.01037,-72.53025,41.01037###-72.53025
41.01033,-72.53061,41.01033###-72.53061
41.01023,-72.53063,41.01023###-72.53063
41.00935,-72.49416,41.00935###-72.49416
41.06282,-72.4031,41.06282###-72.4031
41.06283,-72.45028,41.06283###-72.45028
41.06297,-75.4526,41.06297###-75.4526
41.06273,-72.4503,41.06273###-72.4503
41.06274,-72.4503,41.06274###-72.4503
41.0626,-72.45022,41.0626###-72.45022
41.06256,-72.4519,41.06256###-72.4519
41.0628,-75.45017,41.0628###-75.45017
41.06277,-72.45041,41.06277###-72.45041
41.0624,-72.45008,41.0624###-72.45008
41.06272,-75.45012,41.06272###-75.45012
41.01494,-72.5285,41.01494###-72.5285
41.06267,-75.45014,41.06267###-75.45014
41.00933,-72.49417,41.00933###-72.49417
41.00934,-72.49418,41.00934###-72.49418
41.00943,-72.49403,41.00943###-72.49403
41.00936,-72.49427,41.00936###-72.49427
41.00938,-72.49424,41.00938###-72.49424
41.00942,-72.49433,41.00942###-72.49433
41.00943,-72.49429,41.00943###-72.49429
41.00938,-72.49426,41.00938###-72.49426
41.015,-72.5284,41.015###-72.5284
41.015,-72.52847,41.015###-72.52847
41.01498,-72.52846,41.01498###-72.52846
41.01489,-72.52841,41.01489###-72.52841
41.01505,-72.52848,41.01505###-72.52848
41.01504,-72.52851,41.01504###-72.52851
41.01512,-72.5286,41.01512###-72.5286
41.01508,-72.52853,41.01508###-72.52853
41.01508,-72.52867,41.01508###-72.52867
41.01502,-72.52851,41.01502###-72.52851
41.01528,-72.52807,41.01528###-72.52807
41.01534,-72.52808,41.01534###-72.52808
41.0152,-72.52808,41.0152###-72.52808
41.01527,-72.52818,41.01527###-72.52818
41.01463,-72.52848,41.01463###-72.52848
41.01534,-72.52813,41.01534###-72.52813
41.01459,-72.52831,41.01459###-72.52831
41.01525,-72.52803,41.01525###-72.52803
41.01496,-72.52855,41.01496###-72.52855
41.0149,-72.52847,41.0149###-72.52847
41.01501,-72.5286,41.01501###-72.5286
41.01497,-72.52855,41.01497###-72.52855
41.015,-72.52862,41.015###-72.52862
41.01503,-72.52861,41.01503###-72.52861
41.01441,-72.52852,41.01441###-72.52852
41.01447,-72.52852,41.01447###-72.52852
41.01434,-72.52871,41.01434###-72.52871
41.01446,-72.5285,41.01446###-72.5285
41.01443,-72.52853,41.01443###-72.52853
41.0428,-72.52833,41.0428###-72.52833
41.01444,-72.5284,41.01444###-72.5284
41.01444,-72.52846,41.01444###-72.52846
41.0144,-72.52843,41.0144###-72.52843
