y,x,lat_lon1
35.8134,139.163,35.8134###139.163
35.8132,139.128,35.8132###139.128
35.8072,139.097,35.8072###139.097
35.7927,139.067,35.7927###139.067
35.7775,139.015,35.7775###139.015
36.59,115.4,36.59###115.4
33.6,130.4,33.6###130.4
40.2122,-88.9808,40.2122###-88.9808
40.0777,-88.8233,40.0777###-88.8233
39.9451,-88.596,39.9451###-88.596
39.9636,-88.6131,39.9636###-88.6131
40.3623,-88.1376,40.3623###-88.1376
40.298,-88.2508,40.298###-88.2508
40.2465,-88.3068,40.2465###-88.3068
40.0532,-88.5592,40.0532###-88.5592
40.1065,-88.5119,40.1065###-88.5119
40.679,-88.0499,40.679###-88.0499
40.516,-87.7065,40.516###-87.7065
40.6021,-87.8844,40.6021###-87.8844
40.4595,-87.7638,40.4595###-87.7638
-14.1,33.46,-14.1###33.46
45.08,142.03,45.08###142.03
35.7,139.76,35.7###139.76
35.7,139.77,35.7###139.77
35.7,139.78,35.7###139.78
35.7,139.79,35.7###139.79
35.7,139.8,35.7###139.8
35.7,139.81,35.7###139.81
35.7,139.82,35.7###139.82
35.7,139.83,35.7###139.83
40.11,-88.22,40.11###-88.22
36.3925,137.748,36.3925###137.748
35.6501,139.466,35.6501###139.466
32.25,118.7,32.25###118.7
32.4798,119.136,32.4798###119.136
43.24,144.38,43.24###144.38
13.45,100.3,13.45###100.3
14.59,103.1,14.59###103.1
38.272,140.861,38.272###140.861
38.272,140.862,38.272###140.862
26.3,115.9,26.3###115.9
35.6817,139.718,35.6817###139.718
34.685,135.101,34.685###135.101
28.68,116.02,28.68###116.02
26.5,117.72,26.5###117.72
43,142.9,43###142.9
42.9,143,42.9###143
43,143.3,43###143.3
42.8,143.1,42.8###143.1
43,141.4,43###141.4
38.7,140.8,38.7###140.8
37.4,138.9,37.4###138.9
36,140.1,36###140.1
35.7,139.5,35.7###139.5
36.1,137.9,36.1###137.9
32.9,130.7,32.9###130.7
23.5685,32.9171,23.5685###32.9171
22.5859,32.3025,22.5859###32.3025
22.4821,31.7177,22.4821###31.7177
23.3637,32.9924,23.3637###32.9924
30.67,104.06,30.67###104.06
33.9783,132.801,33.9783###132.801
35.1073,139.048,35.1073###139.048
27.6744,85.2667,27.6744###85.2667
27.6762,85.2981,27.6762###85.2981
27.6629,85.3196,27.6629###85.3196
27.675,85.4279,27.675###85.4279
27.6758,85.3245,27.6758###85.3245
27.6343,85.3183,27.6343###85.3183
27.6445,85.3708,27.6445###85.3708
27.7024,85.2896,27.7024###85.2896
27.6844,85.3279,27.6844###85.3279
27.6708,85.3308,27.6708###85.3308
27.6076,85.2966,27.6076###85.2966
35.285,139.196,35.285###139.196
37.51,140.57,37.51###140.57
35.4893,139.684,35.4893###139.684
36.113,140.534,36.113###140.534
36.096,140.401,36.096###140.401
35.504,138.768,35.504###138.768
36.542,139.948,36.542###139.948
35.408,138.873,35.408###138.873
43.16,140.78,43.16###140.78
42.87,143.36,42.87###143.36
42.62,140.79,42.62###140.79
40.85,140.67,40.85###140.67
39.32,141.45,39.32###141.45
35.85,139.56,35.85###139.56
35.84,139.54,35.84###139.54
35.9,138.53,35.9###138.53
35.9,138.39,35.9###138.39
34.8,137.01,34.8###137.01
34.41,135.31,34.41###135.31
49.9844,7.96112,49.9844###7.96112
35.7,139.7,35.7###139.7
1.67358,103.657,1.67358###103.657
29.53,121.5,29.53###121.5
37.4899,140.949,37.4899###140.949
37.4863,140.959,37.4863###140.959
40.9,140.4,40.9###140.4
32.9,118.57,32.9###118.57
35,137,35###137
30,131,30###131
35.6933,139.692,35.6933###139.692
45.03,142.01,45.03###142.01
5.50479,118.274,5.50479###118.274
5.50415,118.27,5.50415###118.27
5.69415,118.375,5.69415###118.375
5.73117,118.35,5.73117###118.35
5.93675,117.795,5.93675###117.795
5.84997,116.07,5.84997###116.07
-27.29,153,-27.29###153
13.7724,100.5,13.7724###100.5
13.7712,100.502,13.7712###100.502
13.7705,100.503,13.7705###100.503
13.7687,100.505,13.7687###100.505
13.7668,100.506,13.7668###100.506
36.11,140.1,36.11###140.1
29.2161,25.545,29.2161###25.545
31.1192,33.4611,31.1192###33.4611
24.45,124.214,24.45###124.214
35.033,135.784,35.033###135.784
44.0472,144.19,44.0472###144.19
44.0475,144.189,44.0475###144.189
35.45,139.52,35.45###139.52
33.2919,130.283,33.2919###130.283
34.93,135.94,34.93###135.94
35.072,135.93,35.072###135.93
35.5405,139.753,35.5405###139.753
35.34,136.15,35.34###136.15
35.86,140.02,35.86###140.02
36.03,140.39,36.03###140.39
38.2,140.69,38.2###140.69
36.83,138.22,36.83###138.22
35.45,132.96,35.45###132.96
35.47,133.18,35.47###133.18
39.92,140.03,39.92###140.03
36.05,138.08,36.05###138.08
34.58,133.93,34.58###133.93
29.87,121.65,29.87###121.65
34.6919,135.482,34.6919###135.482
40.09,94.43,40.09###94.43
43.58,104.43,43.58###104.43
36.0538,140.119,36.0538###140.119
34.95,135.71,34.95###135.71
37.433,138.889,37.433###138.889
34.972,135.958,34.972###135.958
36.524,138.349,36.524###138.349
35.5941,139.621,35.5941###139.621
-51.1861,-73.2914,-51.1861###-73.2914
-51.1292,-73.3135,-51.1292###-73.3135
-51.0862,-73.3605,-51.0862###-73.3605
36,138.23,36###138.23
34.1,136.06,34.1###136.06
35.56,137.28,35.56###137.28
35.43,138.51,35.43###138.51
35.44,138.12,35.44###138.12
35.2,138.44,35.2###138.44
35.6986,139.816,35.6986###139.816
35.6711,139.701,35.6711###139.701
35.7124,139.407,35.7124###139.407
35.7125,139.77,35.7125###139.77
35.7084,139.797,35.7084###139.797
35.7145,139.773,35.7145###139.773
78.9018,11.8281,78.9018###11.8281
78.9048,11.8242,78.9048###11.8242
78.8926,11.8588,78.8926###11.8588
78.9016,11.8193,78.9016###11.8193
78.8941,11.819,78.8941###11.819
78.9052,11.8237,78.9052###11.8237
78.9065,11.8235,78.9065###11.8235
78.9042,11.8247,78.9042###11.8247
35.9732,139.583,35.9732###139.583
